"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USC00041312","CALISTOGA, CA US","1980-11-13","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-14","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-15","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-16","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-17","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-18","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-19","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-20","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-21","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-22","0.30",,,
"USC00041312","CALISTOGA, CA US","1980-11-23","0.05",,,
"USC00041312","CALISTOGA, CA US","1980-11-24","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-25","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-26","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-27","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-28","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-11-29","0.02",,,
"USC00041312","CALISTOGA, CA US","1980-11-30","0.09",,,
"USC00041312","CALISTOGA, CA US","1980-12-01","0.12",,,
"USC00041312","CALISTOGA, CA US","1980-12-02","1.05",,,
"USC00041312","CALISTOGA, CA US","1980-12-03","5.51",,,
"USC00041312","CALISTOGA, CA US","1980-12-04","0.20",,,
"USC00041312","CALISTOGA, CA US","1980-12-05","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-06","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-07","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-08","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-09","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-10","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-11","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-12","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-13","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-14","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-15","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-16","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-17","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-18","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-19","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-20","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-21","0.58",,,
"USC00041312","CALISTOGA, CA US","1980-12-22","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-23","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-24","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-25","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-26","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-27","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-28","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-29","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-30","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-12-31","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-01","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-02","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-03","0.39",,,
"USC00041312","CALISTOGA, CA US","1981-01-04","0.07",,,
"USC00041312","CALISTOGA, CA US","1981-01-05","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-06","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-07","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-08","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-09","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-10","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-11","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-12","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-13","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-14","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-15","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-16","0.22",,,
"USC00041312","CALISTOGA, CA US","1981-01-17","0.43",,,
"USC00041312","CALISTOGA, CA US","1981-01-18","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-19","0.60",,,
"USC00041312","CALISTOGA, CA US","1981-01-20","0.17",,,
"USC00041312","CALISTOGA, CA US","1981-01-21","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-22","1.90",,,
"USC00041312","CALISTOGA, CA US","1981-01-23","0.50",,,
"USC00041312","CALISTOGA, CA US","1981-01-24","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-25","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-01-26","0.70",,,
"USC00041312","CALISTOGA, CA US","1981-01-27","2.28",,,
"USC00041312","CALISTOGA, CA US","1981-01-28","1.87",,,
"USC00041312","CALISTOGA, CA US","1981-01-29","0.47",,,
"USC00041312","CALISTOGA, CA US","1981-01-30","0.01",,,
"USC00041312","CALISTOGA, CA US","1981-01-31","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-02-01","0.00",,"60","29"
